epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13685.1,1.43437,0.67562,0.9597,0.8745,0.68771,0.77372,0.42071,1.393,0.60853,0.99079,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,14114,1.42318,0.66462,0.9555,0.87366,0.68827,0.77551,0.42164,1.38935,0.60672,0.98987,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,14541.4,1.42263,0.66394,0.95423,0.87171,0.69252,0.77873,0.42316,1.39003,0.60645,0.98845,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,14972.3,1.41964,0.65983,0.95346,0.87516,0.69119,0.77828,0.42284,1.38927,0.60382,0.98914,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,15400.5,1.41736,0.66236,0.95508,0.87944,0.69089,0.77891,0.42238,1.38944,0.60358,0.9868,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,15829.1,1.40346,0.65128,0.95145,0.87592,0.69529,0.78104,0.42619,1.38612,0.59967,0.98745,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,16258.2,1.40526,0.64537,0.94788,0.87158,0.6961,0.78188,0.42463,1.38725,0.59942,0.98614,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,16686,1.39424,0.64238,0.94788,0.87289,0.69701,0.78105,0.42665,1.38402,0.59786,0.98712,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,17116.8,1.38916,0.63728,0.94491,0.87726,0.69602,0.78389,0.42661,1.38546,0.59641,0.98845,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,17520.7,1.34051,0.60502,0.96081,0.87785,0.68885,0.77808,0.42257,1.39208,0.59983,0.99209,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,17921.6,1.33561,0.5991,0.95632,0.87572,0.69136,0.77855,0.42412,1.39077,0.59825,0.99099,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,18326.2,1.32578,0.59508,0.95607,0.87504,0.69257,0.77866,0.42326,1.39107,0.59844,0.99102,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,18731.1,1.32116,0.5884,0.95457,0.87825,0.6929,0.78039,0.42447,1.3894,0.5981,0.99035,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,19139.9,1.31466,0.5851,0.95144,0.87783,0.69557,0.78128,0.42424,1.39009,0.59741,0.99041,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,19550.4,1.3112,0.57936,0.94863,0.87695,0.69376,0.77991,0.42426,1.38899,0.59726,0.99075,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,19956.7,1.30203,0.57284,0.94424,0.87875,0.69412,0.78037,0.42508,1.38689,0.59667,0.9911,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,20359.7,1.28951,0.56732,0.94569,0.87978,0.69353,0.78029,0.42489,1.38855,0.59622,0.99196,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,406.757,1.28904,0.56304,0.93946,0.87803,0.6949,0.77961,0.42413,1.39012,0.59702,0.99115,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,808.35,1.28369,0.55875,0.93923,0.87647,0.69421,0.77878,0.42291,1.39147,0.59675,0.99043,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
